StockNumber,Make,Model,Badge,RegoNum,VIN,Price,Year,Odometer,Body,Color,EngineSize,GearType,FuelType,StandardFeatures,OptionalFeatures,AdvDescription,YardCode,Series,NVIC,SpecialPrice,IsDemo,IsSpecial,IsPrestiged,StockType,IsUsed,RegoExpiry,VideoLink,Drive,DoorNum,Cylinders,RedbookCode,IsMiles,ShortDescription,InteriorColour,RegoState,BuildDate,ComplianceDate,GCM,GVM,Tare,SleepingCapacity,Toilet,Shower,AirConditioning,Fridge,Stereo,IsDAP,StockStatus,EngineNumber,GearCount,EnginePower,PowerkW,Powerhp,EngineMake,GPS,SerialNumber,WheelSize,TowBallWeight,Warranty,Wheels,AxleConfiguration,Seats
6454,HYUNDAI,VELOSTER,+,1HDD725,KMHTC61DLCU051484,13990.0000,2012,130183,3D COUPE,Vitamin C,1591,6 SP MANUAL,Petrol - Unleaded ULP,,,"The Veloster comes with a unique styling giving you one door on the driver side and 2 doors on the passenger, it comes with plenty of room inside and a good amount of boot space in the rear hatch, comfortable leather seating throughout, bluetooth connectivity and reverse camera. It has the efficient 1.6L motor with 6spd manual gearbox getting and average consumption as little as 6.4L/100kms!<br /><br />*** Enquire now and have a chat to our Sales Team ***<br /><br />Search our stock at - www.drivenautogroup.com.au<br /><br />--------- More Cars, More Choice ----------<br /><br />Easy online finance applications at www.drivenautogroup.com.au/finance<br /><br />Part of the Driven Auto Group",1,FS,,,False,False,False,A,True,01/03/2021,,FWD,,4,,False,VELOSTER + FS MULTI POINT F/INJ 1.6L 6 SP MANUAL,,WA,02/12,02/12,,1700,1265,,,,,,,False,In_Stock,G4FDBU758956,,103,103,138.02,,,,,,,,,
6449,SUZUKI,SX4,4x4,1CWL832,JSAGYA41S00110009,5990.0000,2007,198604,5D HATCHBACK,Silver,1995,5 SP MANUAL,Petrol - Unleaded ULP,,,"This economical SX4 is ready to go a presents in great condition inside and out coming with the 2.0L motor and  5spd manual gearbox getting an average consumption of 8.4L/100kms. The little hatch is easy to park around town and comes with plenty of room inside and a good sized boot in the back plus log books with service history and 2 sets of keys!<br /><br />*** Enquire now and have a chat to our Sales Team ***<br /><br />Search all our stock - www.drivenautogroup.com.au/inventory<br /><br />--- Wholesale Direct To The Public ---<br /><br />Test Drive Today at 23 Dixon Road, Rockingham<br />08 62450150 or direct through our website<br />We have a huge range & easy finance is available including low income and Centrelink payments.<br /><br />Part of the Driven Auto Group",1,GY,,,False,False,False,A,True,08/01/2021,,AWD,,4,,False,SX4 4x4 GY MULTI POINT F/INJ 2.0L 5 SP MANUAL,,WA,08/07,08/07,,1725,1290,,,,,,,False,In_Stock,J20A464184,,107,107,143.38,,,,,,,,,
6425,TOYOTA,COROLLA,ASCENT,1DFZ369,JTNKU58EX01111154,10990.0000,2009,136490,5D HATCHBACK,White,1798,4 SP AUTOMATIC,Petrol - Unleaded ULP,,,Just arrived - please contact us for more info.,1,ZRE152R MY10,,,False,False,False,A,True,30/03/2021,,FWD,,4,,False,COROLLA ASCENT ZRE152R MY10 MULTI POINT F/INJ 1.8L 4 SP AUTOMATIC,,WA,11/09,12/09,,,1330,,,,,,,False,In_Stock,2ZR0526741,,100,100,134,,,,,,,,,
6414,JEEP,CHEROKEE,SPORT (4x4),1EBP414,1J8GM48K14W211414,,2004,210367,,Beige,,4 SP AUTOMATIC,,,,JUST ARRIVED - PLEASE CONTACT US FOR MORE INFO.,1,,,,False,False,False,A,True,25/02/2021,,,,,,False,,,WA,06/04,06/04,,,,,,,,,,False,In_Stock,4W211414,,,,,,,,,,,,,
6383,FORD,FALCON,XR6,1EQP102,6FPAAAJGSWDR36820,16990.0000,2013,102778,4D SEDAN,Vanish,3984,6 SP AUTO SEQ SPORTSHIFT,Petrol - Unleaded ULP,,,"This MKII FG presents in great condition finished in Vanish Blue metallic duco with 18"" silver alloys, sports bodykit and rear spoiler. It comes with the durable 4.0L inline 6 motor with a low 102,778kms on the clock with log books and service history. The spacious interior will comfortably seat up to 5 adults with sport bucket seats up front and a generous amount of boot space, touchscreen audio ICC unit with bluetooth connectivity and reverse camera, climate control, multi function steering wheel and cruise!<br /><br />*** Enquire now and have a chat to our Sales Team ***<br /><br />Search our stock at - www.drivenautogroup.com.au<br /><br />---------  More Cars, More Choice  ---------- <br /><br />Finance enquiry to 0447928811, finance@drivenautogroup.com.au or www.drivenautogroup.com.au/finance <br /><br />Part of the Driven Auto Group",1,FG MK2,,,False,False,False,A,True,22/02/2021,,RWD,,6,,False,FALCON XR6 FG MK2 MULTI POINT F/INJ 4.0L 6 SP AUTO SEQ SPORTSHIFT,,WA,06/13,06/13,,,1735,,,,,,,False,In_Stock,JGSWDR36820,,195,195,261.3,,,,,,,,,
6374,RENAULT,KANGOO,1.6,KM49308,VF1FW0DBAC0671921,13990.0000,2012,119365,3D VAN,White,1598,4 SP AUTOMATIC,Petrol - Unleaded ULP,,,"This Kangoo is ready for work with loads of room in the back, dual rear doors and side sliding doors with window. It comes with the efficient 1.6L motor and automatic gearbox with books and service history and an average consuption as little as 8.3L/100kms. It has comfortable seating in the front with upgraded colour screen with sat nav and bluetooth connectivity!<br /><br />*** Enquire now and have a chat to our Sales Team ***<br /><br />Search our stock at - www.drivenautogroup.com.au<br /><br />---------  More Cars, More Choice  ---------- <br /><br />Finance enquiry to 0447928811, finance@drivenautogroup.com.au or www.drivenautogroup.com.au/finance <br /><br />Part of the Driven Auto Group",1,X61,,,False,False,False,A,True,29/06/2021,,FWD,,4,,False,KANGOO 1.6 X61 MULTI POINT F/INJ 1.6L 4 SP AUTOMATIC,,WA,05/12,11/12,,1949,1302,,,,,,,False,On_Offer,D010997,,78,78,104.52,,,,,,,,,
6334,TOYOTA,LANDCRUISER,PRADO GXL (4x4),1GAV445,JTEBU29J805059154,16990.0000,2006,299660,4D WAGON,Gold,3955,5 SP AUTOMATIC,Petrol - Unleaded ULP,,,"This Prado is ready for adventure this summer with its awesome off road capabilities and powerful 4.0L V6 motor and plenty of extras including rook rack with awning to fold out and have some shade on the beach. Inside has plenty of room with 7 seats ad loads of leg room throughout and rear fold down DVD screen to keep the kids entertained for the road trip!<br /><br />*** Enquire now and have a chat to our Sales Team ***<br /><br />Search our stock at - www.drivenautogroup.com.au<br /><br />---------  More Cars, More Choice  ---------- <br /><br />Easy online finance applications at www.drivenautogroup.com.au/finance <br /><br />Part of the Driven Auto Group",1,GRJ120R,,,False,False,False,A,True,27/02/2021,,4WD,,V6,,False,LANDCRUISER PRADO GXL (4x4) GRJ120R MULTI POINT F/INJ 4.0L 5 SP AUTOMATIC,,WA,05/06,06/06,5350,2850,2100,,,,,,,False,In_Stock,1GR5275044,,179,179,239.86,,,,,,,,,
6323,FORD,FALCON,XR6T,1GGD133,6FPAAAJGSWFD79326,32990.0000,2015,181969,4D SEDAN,Victory Gold,3984,6 SP MANUAL,Petrol - Unleaded ULP,,,"This XR6 Turbo FGX goes as good as it looks! Finished in Victory Gold metallic duco with a set of 19"" alloys. Under the bonnet lays the Barra 4.0L turbocharged monster with upgraded intake and exhaust giving it the sound every turbo fan loves each time you change gears through the 6spd manual gearbox. The spacious interior comes with comfortable leather seating throughout, big touchscreen audio system with bluetooth connectivity and reverse camera!<br /><br />*** Enquire now and have a chat to our Sales Team ***<br /><br />Search our stock at - www.drivenautogroup.com.au<br /><br />---------  More Cars, More Choice  ---------- <br /><br />Finance enquiry to 0447928811, finance@drivenautogroup.com.au or www.drivenautogroup.com.au/finance <br /><br />Part of the Driven Auto Group",1,FG X,,,False,False,False,A,True,04/01/2021,,RWD,,T6,,False,FALCON XR6T FG X TURBO MPFI 4.0L 6 SP MANUAL,,WA,03/15,03/15,,,1770,,,,,,,False,In_Stock,JGSWFD79326,,270,270,361.8,,,,,,,,,
6317,HOLDEN,COMMODORE,SS STORM,1ELH766,6G1FC5E29EL980659,39990.0000,2014,94325,4D SEDAN,Red Hot,5967,6 SP MANUAL,Petrol - Premium ULP,,,"This SS Storm has been well looked after and has been lowered on a set of black 20"" alloys and looks great finished in Red Hot duco. It comes with the 6.0L V8 under the bonnet with upgraded exhaust system and OTR intake pushing out 270kW/530Nm through a 6spd manual gearbox with books and service history. The comfortable interior has sport seats up front with partial leather throughout, big colour touchscreen with bluetooth connecvitity, reverse camera and navigation plus automatic steering when parking!<br /><br />*** Enquire now and have a chat to our Sales Team ***<br /><br />Search our stock at - www.drivenautogroup.com.au<br /><br />---------  More Cars, More Choice  ---------- <br /><br />Finance enquiry to 0447928811, finance@drivenautogroup.com.au or www.drivenautogroup.com.au/finance <br /><br />Part of the Driven Auto Group",1,VF,,,False,False,False,A,True,12/02/2021,,RWD,,V8,,False,COMMODORE SS STORM VF MULTI POINT F/INJ 6.0L 6 SP MANUAL,,WA,04/14,04/14,,,1708,,,,,,,False,In_Stock,CFR140370989,,270,270,361.8,,,,,,,,,
6310,HYUNDAI,SANTA FE,HIGHLANDER CRDi (4x4),1DSL792,KMHSH81XSBU756562,17990.0000,2011,177650,4D WAGON,Titanium Grey,2199,6 SP AUTOMATIC,Diesel,,,"This top of the range Santa Fe Highlander comes with plenty of features including 7 seats all wrapped in black leather, with the rear seats split folding if more space is needed, electric front seats to help you get the perfect driving position, multi zone climate control and more. It comes with the efficient 2.2L turbo diesel under the bonnet with a 6spd automatic behind it with books and service history!<br /><br />*** Enquire now and have a chat to our Sales Team ***<br /><br />Search our stock at - www.drivenautogroup.com.au<br /><br />---------  More Cars, More Choice  ---------- <br /><br />Finance enquiry to 0447928811, finance@drivenautogroup.com.au or www.drivenautogroup.com.au/finance <br /><br />Part of the Driven Auto Group",1,CM MY12,,,False,False,False,A,True,25/03/2021,,4x4,,DT4,,False,SANTA FE HIGHLANDER CRDi (4x4) CM M DIESEL TURBO F/INJ 2.2L 6 SP AUTOMATIC,,WA,04/11,09/11,,2620,1935,,,,,,,False,In_Stock,D4HBBU415629,,145,145,194.3,,,,,,,,,
